id;defaulted;credit_amount;annual_installment;term;interest_rate_type;property_type;property_quality_rating;annual_income;number_of_children;number_of_family_members;own_car;own_realty;gender;years_employed;age;currently_employed;education_type;family_status;customer_group
60;no;1255000;37900;34;fixed;apartment;1;107800;2;3;true;true;male;15;36;true;academic degree;single;higher_value
61;no;1270000;43000;32;fixed;house;0.6;103300;1;1;false;false;male;17;38;true;lower secondary;married;higher_value
62;no;206000;17100;13;fixed;house;0.5;77900;1;2;true;true;female;30;77;false;academic degree;divorced;lower_value
63;no;413000;11300;37;variable;house;0.4;29900;1;1;true;true;male;4;30;true;incomplete higher;married;lower_value
64;no;695000;18900;40;variable;house;1;81700;0;1;true;true;male;6;28;true;secondary;divorced;lower_value
65;yes;320500;14600;24;fixed;house;0.4;57000;2;3;false;true;male;16;40;true;lower secondary;divorced;lower_value
66;yes;359000;14200;26;variable;house;0.6;27000;2;1;false;true;female;17;38;false;lower;divorced;lower_value
67;no;1449000;44900;32;fixed;apartment;0.2;117600;2;3;true;true;male;11;32;true;incomplete higher;divorced;higher_value
68;no;295000;56700;6;fixed;apartment;0.6;117200;2;1;true;true;female;30;77;false;secondary;single;higher_value
69;no;117000;9000;14;variable;apartment;0.3;47500;2;3;true;true;female;30;64;true;incomplete higher;single;lower_value
70;no;235000;10500;24;variable;apartment;0.7;28200;2;1;false;true;female;11;36;true;lower secondary;single;lower_value
71;no;460000;15200;32;fixed;apartment;0.4;57900;1;1;true;false;male;19;40;true;incomplete higher;divorced;lower_value
72;no;567900;27000;23;fixed;house;1;117200;0;1;true;true;male;25;49;true;lower secondary;single;higher_value
73;no;289000;7400;41;fixed;apartment;0.2;21400;2;2;true;false;male;0;22;true;incomplete higher;married;lower_value
74;no;468000;12900;39;variable;house;0.1;39100;2;2;true;false;male;11;32;true;incomplete higher;single;lower_value
75;no;962000;28600;36;fixed;house;0.1;89900;3;4;true;false;male;6;30;true;secondary;married;lower_value
76;no;297000;18700;17;variable;house;0.7;73500;1;2;false;true;female;29;55;true;lower secondary;married;lower_value
77;no;206000;11000;20;fixed;apartment;0.4;59300;2;3;true;false;male;20;45;false;incomplete higher;single;lower_value
78;yes;93000;18200;5;fixed;house;0.3;72600;1;2;false;false;female;30;60;true;secondary;widowed;lower_value
79;no;285000;9800;30;fixed;apartment;0.5;27800;2;2;true;false;female;8;30;true;academic degree;divorced;lower_value
80;no;224000;20000;11;variable;apartment;0.7;85000;2;3;true;false;male;28;54;true;secondary;widowed;lower_value
81;no;106800;10600;11;variable;apartment;0.1;49500;0;1;false;true;male;30;61;true;incomplete higher;married;lower_value
82;no;353000;20500;18;fixed;house;0.4;78400;1;1;true;false;female;24;47;true;incomplete higher;single;lower_value
83;no;1661000;52800;33;fixed;apartment;0.5;107900;2;2;true;false;male;6;29;true;academic degree;married;higher_value
84;no;191800;9200;21;fixed;apartment;0.4;27600;2;2;true;true;female;12;35;true;lower secondary;single;lower_value
85;no;1203000;46000;26;fixed;house;0.7;112400;2;3;true;true;male;13;38;true;secondary;married;higher_value
86;no;1649000;37300;49;fixed;house;1;78300;2;2;true;true;male;1;25;true;lower secondary;married;lower_value
87;yes;473000;14400;33;fixed;house;0.3;28400;1;1;false;false;female;13;31;true;lower;married;lower_value
88;yes;252000;11400;23;variable;apartment;0.3;27300;2;1;false;false;male;25;41;true;incomplete higher;widowed;lower_value
89;no;255000;21300;12;variable;house;0.1;54200;1;1;false;false;female;30;50;true;lower secondary;married;lower_value
90;no;390000;14600;30;variable;house;0.5;32500;1;1;true;true;female;14;37;false;incomplete higher;divorced;lower_value
91;no;81000;17700;5;variable;house;0.3;76500;2;3;true;true;male;30;61;true;lower;single;lower_value
92;no;446000;29200;16;variable;house;0.9;87600;1;1;true;true;female;30;64;true;lower secondary;divorced;lower_value
93;no;83000;8400;10;fixed;house;0.4;24400;2;2;false;true;female;30;61;true;lower;married;lower_value
94;no;1644000;40500;41;fixed;house;0.1;113400;3;4;false;false;female;0;23;true;lower secondary;married;higher_value
95;no;1876000;40200;50;fixed;house;0.5;100700;2;3;true;true;female;0;24;true;lower secondary;single;higher_value
96;no;313000;9100;38;variable;house;0.5;28700;1;1;true;false;female;14;33;true;academic degree;single;lower_value
97;no;971000;28700;37;fixed;apartment;0.4;63200;1;1;true;false;male;1;24;true;lower secondary;married;lower_value
98;no;363000;29300;13;fixed;apartment;0.7;76700;1;1;false;true;female;30;78;false;lower secondary;widowed;lower_value
99;no;259400;14100;19;fixed;house;0.7;31000;2;2;true;true;male;23;48;true;lower secondary;single;lower_value
100;no;592000;27800;22;variable;apartment;0.3;113600;0;1;false;false;female;22;45;true;lower secondary;married;higher_value
101;no;1256000;35900;36;variable;apartment;0.5;108400;0;1;false;true;male;8;28;true;lower secondary;divorced;higher_value
102;no;597000;23000;29;fixed;apartment;0.4;83100;2;2;false;true;male;20;40;true;incomplete higher;married;lower_value
103;no;904000;39700;24;variable;house;0.5;100800;2;1;true;true;male;17;38;true;lower secondary;married;higher_value
104;no;984000;23700;45;variable;apartment;0.7;54000;2;2;false;true;female;0;22;true;lower;single;lower_value
105;yes;524000;16200;34;variable;house;0.4;50500;2;2;false;false;male;9;29;true;secondary;divorced;lower_value
106;no;340000;15900;24;variable;house;0.6;44100;1;1;true;false;male;24;46;true;lower secondary;divorced;lower_value
107;no;911000;26500;35;variable;apartment;1;85100;3;4;false;true;female;9;33;true;lower secondary;divorced;lower_value
108;no;1089000;22300;51;fixed;apartment;0.7;51800;1;1;false;false;female;0;21;true;secondary;married;lower_value
109;no;273000;7500;38;variable;house;0.4;17600;2;2;true;true;male;10;29;false;incomplete higher;divorced;lower_value
110;no;442000;14000;32;variable;apartment;0.8;45600;1;1;true;false;female;15;38;true;academic degree;married;lower_value
111;yes;542000;14300;41;variable;house;0.1;37800;5;5;true;false;female;0;23;true;lower secondary;married;lower_value
112;no;560000;35600;16;variable;apartment;0.3;117800;1;2;true;true;male;30;64;true;lower;married;higher_value
113;no;480000;25900;20;variable;apartment;1;65900;1;1;true;false;male;16;38;true;academic degree;married;lower_value
114;no;189000;39000;5;variable;house;0.3;87100;2;1;true;true;male;30;73;false;incomplete higher;married;lower_value
115;no;353000;10200;36;fixed;house;0.4;24600;3;2;true;true;female;12;33;true;secondary;divorced;lower_value
116;no;287000;7700;40;fixed;house;0.6;23400;1;1;true;true;female;5;28;true;lower secondary;widowed;lower_value
117;yes;334000;9200;40;fixed;house;0.6;39400;3;4;true;true;female;10;28;true;lower secondary;divorced;lower_value
118;no;245000;14200;19;variable;apartment;0.5;32500;1;1;false;false;male;17;41;false;academic degree;single;lower_value
119;no;1401000;41300;38;fixed;apartment;1;92000;3;3;false;true;male;4;27;true;academic degree;single;higher_value
120;no;770600;29100;28;fixed;house;1;91400;2;2;true;true;male;13;36;true;academic degree;widowed;higher_value
121;yes;181000;19800;9;variable;house;0.2;77100;1;2;true;true;female;27;47;true;lower;married;lower_value
122;no;614000;19700;32;variable;house;0.8;66200;2;1;true;true;female;6;35;true;secondary;divorced;lower_value
123;no;332000;12600;28;variable;house;0.4;27300;2;1;true;true;male;11;35;true;academic degree;married;lower_value
124;no;1853000;62800;32;fixed;house;0.9;126000;1;1;true;false;male;10;34;true;secondary;single;higher_value
125;no;1821000;37900;50;variable;apartment;1;80800;3;3;true;true;female;0;21;true;lower secondary;single;lower_value
126;no;1035500;21000;50;fixed;apartment;0.6;53500;2;2;false;false;male;0;22;true;lower secondary;single;lower_value
127;no;595000;21700;28;variable;apartment;0.7;67100;2;1;true;false;male;14;38;true;academic degree;single;lower_value
128;no;198000;9400;22;variable;house;0.3;39800;2;3;false;true;female;17;41;true;academic degree;single;lower_value
129;no;1078000;43600;27;fixed;house;1;121800;0;1;true;true;male;12;36;true;lower secondary;married;higher_value
130;no;638000;16700;39;fixed;house;0.6;54200;1;1;true;true;male;4;30;true;academic degree;single;lower_value
131;no;1147000;31300;39;variable;house;0.9;90600;2;2;false;false;male;4;28;true;secondary;married;higher_value
132;no;137000;11600;13;fixed;house;0.2;61300;1;2;true;true;male;30;72;false;lower;divorced;lower_value
133;no;975600;24500;43;variable;house;0.6;89000;1;2;true;true;female;2;24;true;lower secondary;married;lower_value
134;yes;839300;20800;44;variable;house;0.6;68600;3;4;false;false;female;5;22;true;lower secondary;married;lower_value
135;no;120000;13600;9;fixed;house;0.2;29900;2;1;false;true;female;25;45;true;lower;married;lower_value
136;no;149000;20600;8;fixed;apartment;0.4;74100;3;3;true;true;male;30;61;true;academic degree;married;lower_value
137;no;66000;14400;5;variable;house;0.4;37500;2;1;true;true;female;30;64;false;academic degree;married;lower_value
138;no;1178000;48400;25;variable;apartment;0.3;103900;2;1;true;false;male;12;33;true;secondary;divorced;higher_value
139;no;396000;20400;20;variable;apartment;1;60000;3;3;false;true;female;21;45;true;secondary;married;lower_value
140;no;831000;41300;21;variable;apartment;0.7;84700;2;2;true;false;male;16;37;true;lower secondary;single;lower_value
141;no;549000;18700;30;variable;apartment;0.7;85100;1;2;true;false;male;13;37;true;lower;married;lower_value
142;no;725000;32300;23;fixed;house;0.8;83200;2;2;true;true;male;16;43;true;incomplete higher;widowed;lower_value
143;no;312800;10100;33;variable;house;0.7;42000;2;3;false;true;male;15;39;true;secondary;married;lower_value
144;yes;95000;7800;13;variable;apartment;0.1;52200;0;1;false;false;female;30;77;false;incomplete higher;divorced;lower_value
145;yes;291000;13700;23;fixed;apartment;0.4;26000;1;1;false;false;male;18;40;true;incomplete higher;single;lower_value
146;no;538000;25800;21;variable;apartment;0.6;63300;1;1;false;false;male;17;40;true;incomplete higher;single;lower_value
147;no;345000;13600;27;fixed;apartment;0.5;35400;1;1;true;true;male;19;42;true;secondary;divorced;lower_value
148;yes;1249000;37100;35;variable;apartment;0.4;81400;1;1;false;true;male;13;32;true;secondary;married;lower_value
149;no;1574000;47400;36;fixed;apartment;0.6;116600;2;2;true;false;female;8;31;true;lower;married;higher_value
150;no;646000;24600;28;fixed;house;1;120900;0;1;false;false;male;16;40;true;incomplete higher;single;higher_value
151;no;502000;15300;34;variable;house;0.5;56000;1;1;true;false;male;7;31;true;lower;single;lower_value
152;no;323700;26700;13;variable;house;0.6;72000;1;1;true;true;male;30;75;false;incomplete higher;single;lower_value
153;no;580000;18300;33;fixed;house;0.6;42000;1;1;true;true;male;6;29;true;lower secondary;single;lower_value
154;no;208000;17400;12;variable;house;0.7;41100;2;2;false;true;male;25;50;true;lower;single;lower_value
155;no;364100;9200;43;fixed;house;0.7;26400;2;2;false;true;male;0;22;true;academic degree;married;lower_value
156;no;1210000;36400;35;variable;apartment;0.7;93000;2;1;false;false;male;16;39;true;incomplete higher;single;higher_value
157;no;1158000;30500;40;fixed;apartment;0.8;108900;2;3;false;false;male;0;21;true;lower;single;higher_value
158;no;201000;25900;8;fixed;apartment;0.3;65500;3;3;true;false;female;29;51;true;academic degree;married;lower_value
159;no;548000;25300;24;variable;apartment;0.9;83000;3;4;true;true;male;21;39;true;lower;widowed;lower_value
160;no;827000;63700;13;variable;apartment;1;132300;2;2;true;true;female;30;70;false;lower;married;higher_value
161;no;117000;19800;6;fixed;house;0.3;60500;2;2;false;true;male;30;74;false;secondary;divorced;lower_value
162;no;91000;6100;15;fixed;apartment;0.4;36300;3;4;false;true;female;30;52;false;academic degree;divorced;lower_value
163;no;417000;20900;21;variable;apartment;0.7;64300;2;3;true;true;female;19;40;true;lower secondary;married;lower_value
164;no;1354900;31700;43;variable;apartment;1;73100;1;1;false;true;male;0;22;true;incomplete higher;married;lower_value
165;no;249000;26700;9;fixed;house;0.3;83000;2;2;true;false;female;30;62;true;secondary;married;lower_value
166;yes;88000;6900;14;fixed;house;0.1;19800;2;1;true;true;female;27;48;true;lower secondary;married;lower_value
167;no;934000;23000;44;variable;house;1;48700;1;1;true;false;male;2;26;true;lower secondary;single;lower_value
168;no;218000;6300;36;fixed;house;0.2;16100;2;2;false;true;female;5;29;true;incomplete higher;widowed;lower_value
169;no;1150000;45400;26;variable;house;1;100100;1;1;false;false;male;7;32;true;secondary;divorced;higher_value
170;no;1494400;38400;42;variable;apartment;0.7;96700;1;1;false;false;male;1;24;true;incomplete higher;married;higher_value
171;no;318000;32100;11;fixed;apartment;0.5;75500;2;2;true;false;female;30;63;true;lower secondary;married;lower_value
172;no;244000;17100;16;fixed;house;0.5;41500;3;3;false;true;female;25;51;true;incomplete higher;married;lower_value
173;no;563000;16900;34;fixed;apartment;0.8;57000;1;2;false;false;male;12;35;true;lower;married;lower_value
174;no;303000;40300;8;fixed;house;0.7;92100;1;1;false;false;female;30;55;true;incomplete higher;single;higher_value
175;no;480000;12000;40;variable;apartment;0.4;35600;1;1;true;true;female;5;24;true;lower secondary;single;lower_value
176;no;580000;20200;30;variable;house;0.4;82200;0;1;false;true;male;5;30;true;secondary;married;lower_value
177;no;708000;23500;31;fixed;house;0.9;99900;1;2;true;false;male;13;39;true;secondary;married;higher_value
178;no;1071000;25500;42;fixed;house;0.6;74500;2;2;true;false;female;0;22;true;academic degree;married;lower_value
179;no;574000;20800;28;variable;apartment;1;61100;1;1;true;true;female;8;34;true;incomplete higher;single;lower_value
180;yes;476000;18700;26;variable;apartment;0.6;41100;2;2;true;false;male;19;41;true;secondary;divorced;lower_value
181;no;310000;29000;12;fixed;apartment;0.7;63100;3;3;false;true;female;30;67;true;lower;divorced;lower_value
182;no;600000;13400;46;fixed;house;0.9;45800;1;1;true;false;male;0;21;false;incomplete higher;single;lower_value
183;no;794600;25600;34;variable;house;1;65900;1;1;true;true;male;16;37;true;academic degree;divorced;lower_value
184;no;348800;18100;21;variable;house;0.6;60200;1;1;false;false;male;21;43;true;secondary;widowed;lower_value
185;no;715000;17000;45;fixed;apartment;0.1;60300;2;3;true;true;male;1;28;true;incomplete higher;single;lower_value
186;no;487000;14400;36;fixed;house;0.3;35800;3;2;true;true;male;5;30;true;secondary;divorced;lower_value
187;no;495000;28200;18;fixed;apartment;1;75100;2;1;false;false;female;24;47;true;academic degree;divorced;lower_value
188;no;1117000;27700;43;fixed;house;0.9;58200;2;2;true;false;male;0;20;true;lower;married;lower_value
189;no;953000;25800;38;variable;house;1;82800;0;1;true;true;male;6;29;true;academic degree;single;lower_value
190;no;868000;25100;35;fixed;apartment;0.9;71700;1;2;true;false;male;9;31;true;academic degree;single;lower_value
191;no;852400;19500;44;fixed;apartment;1;37300;2;2;false;true;male;0;21;true;lower;married;lower_value
192;no;497000;30600;18;fixed;apartment;0.8;86100;2;3;true;false;male;25;48;true;lower;divorced;lower_value
193;no;797000;21400;39;fixed;apartment;0.7;45400;1;1;true;false;female;8;30;true;incomplete higher;single;lower_value
194;no;941000;29500;34;variable;apartment;1;76300;1;1;false;true;male;7;28;true;incomplete higher;married;lower_value
195;no;515000;14600;36;fixed;house;0.5;47200;1;1;false;true;male;4;28;true;academic degree;single;lower_value
196;no;1875900;43200;45;variable;house;0.9;128700;0;1;true;false;male;0;21;true;lower secondary;single;higher_value
197;no;920000;18800;52;variable;house;1;44200;2;2;true;true;male;0;21;true;lower;married;lower_value
198;no;379000;15300;26;variable;house;0.4;58300;2;2;true;true;female;16;40;true;academic degree;divorced;lower_value
199;no;654000;28900;24;fixed;house;0.5;85000;2;3;false;false;male;16;40;true;academic degree;divorced;lower_value
200;no;1357000;42100;35;fixed;house;0.9;107700;3;4;true;true;male;11;33;true;lower;married;higher_value
201;no;175000;21200;9;fixed;house;0.1;89300;2;3;false;true;female;30;53;true;secondary;divorced;lower_value
202;no;411000;27500;16;fixed;house;0.3;121300;0;1;false;true;male;30;59;true;incomplete higher;single;higher_value
203;no;626000;13500;47;variable;apartment;0.6;49200;3;3;true;true;male;2;26;true;lower;single;lower_value
204;yes;255000;16300;17;variable;apartment;0.5;32300;2;2;true;true;female;30;71;false;incomplete higher;married;lower_value
205;no;1183000;52500;24;variable;house;0.8;109300;2;1;true;false;male;27;49;true;secondary;married;higher_value
206;no;310000;30000;11;fixed;house;0.5;67800;1;1;false;true;male;30;63;true;lower secondary;divorced;lower_value
207;no;487200;18000;28;fixed;apartment;0.8;66400;1;2;false;false;female;10;29;true;lower secondary;married;lower_value
208;no;305200;7400;42;variable;apartment;0.5;27100;1;1;false;true;male;0;21;true;secondary;single;lower_value
209;no;141000;27700;6;fixed;house;0.3;72400;2;1;true;false;male;30;55;true;incomplete higher;single;lower_value
210;no;1329000;44400;31;fixed;apartment;0.7;95900;1;1;false;true;male;11;36;true;incomplete higher;single;higher_value
211;no;209000;30300;7;variable;house;0.4;66300;1;1;false;true;female;30;60;true;academic degree;divorced;lower_value
212;yes;295000;15600;20;fixed;apartment;0.5;76600;0;1;false;false;male;21;40;true;incomplete higher;married;lower_value
213;no;416000;24100;18;variable;apartment;0.9;93600;0;1;false;false;male;23;47;true;secondary;divorced;higher_value
214;no;804000;24700;33;fixed;apartment;0.7;61100;2;2;true;false;male;6;30;true;incomplete higher;married;lower_value
215;no;668200;36700;19;fixed;house;0.3;81000;3;3;false;false;male;21;42;true;secondary;married;lower_value
216;no;304000;16600;20;variable;house;0.6;57300;2;3;true;false;female;23;47;true;lower;married;lower_value
217;no;273000;16900;17;variable;apartment;0.5;39400;2;2;false;true;female;30;68;false;secondary;single;lower_value
218;no;162000;8600;20;fixed;apartment;0.3;59800;0;1;true;false;male;18;41;true;incomplete higher;widowed;lower_value
219;no;921000;21800;47;variable;house;0.2;98400;2;3;true;true;female;0;20;true;lower;single;higher_value
220;no;476000;28600;17;variable;house;0.4;58600;2;2;false;false;male;28;50;true;lower secondary;married;lower_value
221;no;115000;20700;6;variable;house;0.4;41800;1;1;true;false;male;30;56;true;academic degree;married;lower_value
222;no;941000;37900;25;fixed;apartment;0.5;88500;2;1;true;false;male;24;45;true;lower;married;lower_value
223;no;1037700;34900;31;fixed;house;1;93300;1;1;true;true;male;16;36;true;secondary;single;higher_value
224;no;610000;20200;32;fixed;house;1;44700;2;2;false;false;male;19;40;true;lower secondary;married;lower_value
225;no;815300;24700;35;fixed;house;0.8;65500;1;1;false;true;male;6;28;true;incomplete higher;married;lower_value
226;no;1160800;30300;42;variable;house;0.4;67400;2;2;true;true;female;1;26;true;incomplete higher;married;lower_value
227;no;327000;26600;13;variable;apartment;0.6;56300;1;1;true;true;female;30;60;true;incomplete higher;divorced;lower_value
228;no;205000;25200;8;fixed;apartment;0.6;72800;2;2;true;true;female;25;47;true;academic degree;married;lower_value
229;no;503600;42700;12;fixed;apartment;0.6;103100;2;1;true;true;female;30;72;false;secondary;single;higher_value
230;no;573300;13800;42;variable;house;0.1;44100;2;2;true;true;male;6;27;true;lower secondary;married;lower_value
231;no;912000;22600;42;fixed;house;1;86500;3;4;false;true;male;1;23;true;lower secondary;single;lower_value
232;no;1208000;40800;31;fixed;apartment;0.9;105000;2;2;false;false;male;4;29;true;secondary;widowed;higher_value
233;no;1191000;47200;27;variable;apartment;0.1;109000;2;2;true;true;female;12;34;true;incomplete higher;single;higher_value
234;no;463000;13700;34;variable;house;0.3;49600;2;3;true;false;male;6;26;true;academic degree;married;lower_value
235;no;704000;33100;22;variable;apartment;1;73000;3;3;true;true;female;23;41;true;secondary;divorced;lower_value
236;no;160000;18000;9;fixed;house;0.1;41600;1;1;true;true;male;30;59;false;academic degree;married;lower_value
237;no;562000;14800;41;variable;house;0.4;74000;2;3;true;false;female;0;23;true;secondary;single;lower_value
238;yes;580000;20600;28;variable;apartment;0.5;64000;3;4;false;false;male;19;34;true;incomplete higher;married;lower_value
239;no;559200;20700;28;fixed;apartment;0.8;72900;2;2;true;true;male;14;34;true;incomplete higher;married;lower_value
240;yes;313000;27800;12;variable;apartment;0.5;70500;1;2;false;false;male;30;52;true;lower;widowed;lower_value
241;no;197000;8400;25;variable;house;0.2;39100;2;3;true;true;male;15;39;true;lower secondary;single;lower_value
242;no;134000;8300;17;variable;apartment;0.4;22100;2;2;true;false;male;17;40;true;lower secondary;married;lower_value
243;no;585300;33500;18;fixed;apartment;0.4;96200;2;3;true;false;male;30;49;true;lower secondary;divorced;higher_value
244;no;584000;15600;39;fixed;apartment;0.7;40700;1;1;false;true;female;5;30;true;incomplete higher;divorced;lower_value
245;no;440400;20700;22;fixed;apartment;0.8;47500;2;2;true;true;male;24;48;true;academic degree;single;lower_value
246;no;1016000;26000;40;fixed;house;0.4;84000;0;1;true;true;male;4;27;true;lower;divorced;lower_value
247;no;632000;42600;16;fixed;house;1;98100;1;1;true;true;male;25;50;true;lower secondary;married;higher_value
248;no;178000;9500;19;fixed;apartment;0.2;26200;2;2;true;false;male;24;46;true;incomplete higher;married;lower_value
249;no;1211000;50000;25;variable;apartment;0.9;113200;3;4;true;true;female;17;42;true;secondary;married;higher_value
250;no;84000;8200;10;fixed;house;0.3;45900;2;3;false;false;male;29;54;false;academic degree;single;lower_value
251;yes;673000;29800;23;fixed;apartment;0.7;73200;1;1;true;false;male;18;38;true;lower;married;lower_value
252;no;801000;16200;51;variable;apartment;1;48400;1;1;false;false;male;0;20;true;incomplete higher;single;lower_value
253;no;818000;30000;28;variable;house;0.5;93200;1;2;false;true;female;11;36;true;academic degree;divorced;higher_value
254;yes;58000;6600;9;fixed;house;0.2;50000;0;1;false;true;female;30;71;false;incomplete higher;single;lower_value
